Название вакансии,Компания,Зарплата,Ссылка,Опыт работы
Системный аналитик (младший),ТОО Ломбард Деньги населению,Не указана,https://novosibirsk.hh.ru/vacancy/116700154?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Senior Back-end разработчик (PHP/Laravel),BANKON24,"от 200 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117398458?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Senior QA инженер CRM,ТОО Bilim Land (Bilim Media Group),Не указана,https://novosibirsk.hh.ru/vacancy/117432907?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Ведущий инженер-программист,ООО Магнитогорская энергетическая компания,"80 259 – 107 767 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116825181?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior SEO-специалист,ООО МАКСБИТСОЛЮШЕН,"от 800 $ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117385702?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Младший системный администратор с навыками SEO,Актимед плюс,"от 70 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117113493?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Младший системный администратор с навыками SEO,Актимед плюс,"от 70 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117113493?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Разработчик Back-End Java / BigData (Junior to Senior),ООО Kameleoon,"75 000 – 350 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116932284?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior разработчик,ЮниВеб,"35 000 – 60 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/76806710?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior - middle fullstack разработчик,ТОО AlmaTech,"от 500 000 ₸ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117082990?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Middle Fullstack PHP-разработчик (отдел поддержки сайтов),Пиксель Плюс,Не указана,https://novosibirsk.hh.ru/vacancy/108336994?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Менеджер по подбору персонала/рекрутер,ООО Информационные технологии бизнеса,"40 000 – 60 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117069130?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior Devops / Системный администратор Jira(SaaS-сервисов),ООО Сервер в Аренду,"70 000 – 80 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116006587?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior QA Engineer,MaxLine,Не указана,https://novosibirsk.hh.ru/vacancy/117250233?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Специалист по взаимодействию с партнерами по вопросам интеграции импорта данных,Клиенты Из интернеТа,"от 100 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117373971?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Ведущий инженер-программист (Битрикс / PHP-программист),Техдиректор,"100 000 – 160 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116335729?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Преподаватель онлайн-курса Разработчик Битрикс24,ООО Отус,Не указана,https://novosibirsk.hh.ru/vacancy/116804000?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Бизнес аналитик | Системный аналитик,ООО Мастерская Цифровых Решений,Не указана,https://novosibirsk.hh.ru/vacancy/116567882?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Младший инженер по тестированию ПО,ООО Базальт СПО,"до 90 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/115744753?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Разработчик PHP/Битрикс Junior (в офис),ООО Дрим Тим,"65 000 – 120 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117272405?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
"Backend-разработчик PHP (Junior/Middle, Bitrix)",ООО Д-проджект,"130 000 – 170 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/107878982?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Программист PHP,ООО Пеопла,"от 80 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117271462?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Администратор Linux,QSOFT,Не указана,https://novosibirsk.hh.ru/vacancy/117275664?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior-программист,UTLab,"от 50 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115498282?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
"Fullstack junior PHP разработчик (Symfony, Laravel; React)",Колос Студио,"до 130 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115545725?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Младший программист (маркировка),Первый Бит,"до 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116827270?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист(маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/107769475?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист(маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/107769476?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист (маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116491334?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист (маркировка),Первый Бит,"от 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/115911828?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Младший программист (маркировка),Первый Бит,"до 50 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116827271?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior PHP-разработчик (Bitrix),Влад АйТи,"от 100 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117116555?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior PHP-разработчик (Bitrix),Влад АйТи,"от 100 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117116553?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Системный аналитик (Junior),FM Logistic,"от 100 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117144935?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior PHP-разработчик (Bitrix),Влад АйТи,"от 100 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117116554?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Младший инженер по тестированию ПО,ООО Базальт СПО,"до 90 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117152877?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Системный/Бизнес-аналитик (Junior),FM Logistic,"от 100 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/115534351?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Full-stack Web Developer (Главный разработчик),"Назарбаев интеллектуальные школы, Автономная организация образования","от 720 000 ₸ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117126449?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Администратор linux (junior),Цифра,Не указана,https://novosibirsk.hh.ru/vacancy/117144159?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
PHP-программист (Junior),КОЛЕСО.ру,Не указана,https://novosibirsk.hh.ru/vacancy/116711865?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Frontend Разработчик (Стажёр) на React / React Native,Purrweb,Не указана,https://novosibirsk.hh.ru/vacancy/116493963?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior IT-рекрутер,Afterlogic Rus,"40 000 – 60 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/115434754?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
"Младший аналитик Threat Intelligence, Darkweb",F.A.C.C.T.,Не указана,https://novosibirsk.hh.ru/vacancy/117083607?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
PHP-разработчик,ПАО БАНК УРАЛСИБ,Не указана,https://novosibirsk.hh.ru/vacancy/117022754?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
PHP-разработчик (удалённо),ПАО БАНК УРАЛСИБ,Не указана,https://novosibirsk.hh.ru/vacancy/115498190?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
"Backend разработчик (PHP, Laravel - middle, middle+)",ООО МЕН ИН ДЕВ,"от 150 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117042367?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Junior Full Stack Developer,ООО Терехов,"75 000 – 90 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116994469?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
PHP разработчик (Middle),Clickise,"90 000 – 150 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/113013173?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Специалист по маркетинговым исследованиям,"""МТС"", Маркетинг и PR","от 150 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116623042?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Web-программист,ЗАО Институт телекоммуникаций,"от 140 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/104960179?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Senior SEO-специалист / Старший специалист по поисковому продвижению,Инженеры продаж,"90 000 – 140 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115134182?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Frontend Разработчик (Junior) (удаленная работа не рассматривается),ООО ПрограмЛаб,"от 50 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116827549?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior Developer (стажер),NEXTLINE Лаборатория рекламы,"от 100 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116792570?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Преподаватель по программированию и робототехнике/ Учитель информатики,ООО МИП ПОКОЛЕНИЕ 3Д,"750 – 1 500 ₽ за час, на руки",https://novosibirsk.hh.ru/vacancy/116856605?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Laravel-разработчик,Alto,"до 130 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116792995?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
SEO-специалист,"Nimax, digital-агентство",Не указана,https://novosibirsk.hh.ru/vacancy/116831633?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior (начинающий) веб разработчик с функциями системного администратора (Новосибирск),ООО Ноотериа Лабс,"60 000 – 80 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115707638?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior (начинающий) веб разработчик с функциями системного администратора (Новосибирск),ООО Ноотериа Лабс,"60 000 – 80 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115707638?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior web Разработчик 1С: Битрикс,VisionLab,"от 80 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116713114?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Рекрутер / Менеджер по подбору персонала,DELTA,"30 000 – 60 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115240797?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Senior PHP-разработчик,ТОО MP Solutions,"до 1 500 000 ₸ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116685627?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Junior IT Project manager,ООО Макс,Не указана,https://novosibirsk.hh.ru/vacancy/116367904?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Ведущий разработчик Битрикс24,ООО Мантера-Групп,Не указана,https://novosibirsk.hh.ru/vacancy/116510097?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Ведущий разработчик Битрикс24,ООО Мантера-Групп,Не указана,https://novosibirsk.hh.ru/vacancy/116510099?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Junior SEO-специалист / Специалист по SEO-продвижению,ООО Системные Бизнес Решения,"от 50 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115795181?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior - программист,SMART-SHOP,"от 80 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116593295?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Программист PHP / Web-программист,ООО Полезные системы,Не указана,https://novosibirsk.hh.ru/vacancy/116545464?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior AppSec,ООО Газпромнефть-Снабжение,Не указана,https://novosibirsk.hh.ru/vacancy/116539819?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Senior PHP-разработчик (Backend) для мобильного банковского приложения,Mikrokreditbank,Не указана,https://novosibirsk.hh.ru/vacancy/116590438?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
WEB-разработчик (php),Lucky Site,Не указана,https://novosibirsk.hh.ru/vacancy/116529499?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Аналитик ИБ (AppSec),Солар,Не указана,https://novosibirsk.hh.ru/vacancy/116630270?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
PHP-программист Senior,ООО ГородРабот.ру,"от 175 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/115183832?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
React-Native разработчика,Ляшук Александр,"30 000 – 100 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116528128?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
"Старший Backend-разработчик (PHP, Laravel)",ООО Спутник,Не указана,https://novosibirsk.hh.ru/vacancy/116535101?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Junior системный аналитик без опыта (IT-компания),IQ GROUP,Не указана,https://novosibirsk.hh.ru/vacancy/116510884?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Ведущий программист (ведущий веб-разработчик/senior developer),СибГУТИ,Не указана,https://novosibirsk.hh.ru/vacancy/107239268?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Специалист технической поддержки,РобоФинанс,Не указана,https://novosibirsk.hh.ru/vacancy/116444540?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior программист / разработчик сайтов на 1С-Битрикс,WEB ALTERNATIVE,"от 65 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/109421144?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior PHP-программист (Full-Stack),Equip Group,"от 100 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/114936375?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Web-программист 1C-Bitrix,ООО Тюмень-Софт,Не указана,https://novosibirsk.hh.ru/vacancy/116208792?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
"Битрикс разработчик (Bitrix, junior)",ООО Аддамант,Не указана,https://novosibirsk.hh.ru/vacancy/116101022?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
PHP Developer (PHP разработчик на Laravel),Liox Cleaners,"от 60 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116012837?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
PHP Developer (PHP разработчик на Laravel),Liox Cleaners,"от 60 000 ₽ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116012838?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
"Младший веб-разработчик (Vue.js, Laravel)",ИП Антонов Анатолий Александрович,"70 000 ₽ за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116004648?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Старший разработчик (middle+/senior),ООО SolidLab,Не указана,https://novosibirsk.hh.ru/vacancy/116070153?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
Преподаватель по программированию и цифровому дизайну в детскую IT-школу,Школа программирования для детей CODDY,Не указана,https://novosibirsk.hh.ru/vacancy/115980149?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Junior Fullstack-разработчик,ООО REVOLUTION ENTERTAINMENT,"4 000 000 – 6 000 000 so'm за месяц, на руки",https://novosibirsk.hh.ru/vacancy/117404960?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior PHP-разработчик,ООО COMING SOON STUDIO,Не указана,https://novosibirsk.hh.ru/vacancy/117023190?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
Интегратор CRM Bitrix24 (junior/middle/senior),ООО БеллКорБай,"от 1 500 Br за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/117486482?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Junior разработчик мобильных приложений (Java / Kotlin / Android Studio),"Услуги 22 век, ЧП","250 – 500 $ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/112782441?query=PHP+junior&hhtmFrom=vacancy_search_list,Без опыта
FullStack / BackEnd - разработчик Vue | JS | PHP | Laravel | Bitrix | CMS,ОсОО Тру Айти,"до 200 000 сом за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116788281?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
FrontEnd / FullStack - разработчик Vue JS | JS | Laravel,ОсОО Тру Айти,"до 200 000 сом за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/116788127?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
PHP-разработчик Strong Junior-Middle-Middle+ (Symfony),Oracle Digital,"50 000 – 130 000 сом за месяц, до вычета налогов",https://novosibirsk.hh.ru/vacancy/113877695?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
"Backend Разработчик c#, .NET (strong junior, middle)",ТОО МФО «TAS FINANCE GROUP» (ТАС ФИНАНС ГРУПП),"500 000 – 700 000 ₸ за месяц, на руки",https://novosibirsk.hh.ru/vacancy/116534961?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 1-3 года
Ведущий разработчик Битрикс24,ООО Мантера-Групп,Не указана,https://novosibirsk.hh.ru/vacancy/116510098?query=PHP+junior&hhtmFrom=vacancy_search_list,Опыт 3-6 лет
